ARTIST,SONG,TABS,TUNING,CAPO,CHORDS,TECHNIQUE
Garth Brooks,Ask Me How I Know,https://danielchaveztutorials.com/tabs/ask-me-how-i-know,Drop C#,N/A,Dsus2 | Bm7 | G | Asus4 | Bm | A,Strumming/Palm-muting
Gavin Adcock,Hard Headed Heart,https://danielchaveztutorials.com/tabs/hard-headed-heart,Standard,N/A,C | Em | Am | G | F | C/B,Picking/Strumming
Gavin Adcock,Loose Strings,https://danielchaveztutorials.com/tabs/loose-strings,Standard,1st Fret,G | Cadd9 | Em7 | D/F# | Am | Em | C,Strumming
George Strait,Amarillo By Morning,https://danielchaveztutorials.com/tabs/check-yes-or-no,Standard,N/A,D | F#m | G | A | E | G#m | B7,Strumming
George Strait,Check Yes or No,https://danielchaveztutorials.com/tabs/check-yes-or-no,Standard,3rd Fret,D | A | G | Bm,Strumming
George Strait,One Night At A Time,https://danielchaveztutorials.com/tabs/one-night-at-a-time,Standard,Optional,E | F#m | A | B | Am | G#m,Strumming
Gigi Perez,Sailor Song,https://danielchaveztutorials.com/tabs/sailor-song,Standard,4th Fret,"Cmaj7/G, Em, G",Strumming
Gracie Abrams,That's So True,https://danielchaveztutorials.com/tabs/thats-so-true,Standard,1st Fret,Fmaj7 | Am7| G | C,Strumming
Green Day,Good Riddance (Time of Your Life),https://danielchaveztutorials.com/tabs/good-riddance,Standard,N/A,G | Cadd9 | D | Em | C,Picking/Strumming
Guns and Roses,Civil War - Rise Against Version,https://danielchaveztutorials.com/tabs/civil-war-tim-mcilrath,Standard,4th Fret,Em | G | D/F# | C | Dsus2,Strumming
Haiden,Killed the Kid,https://danielchaveztutorials.com/tabs/killed-the-kid,Standard,4th Fret,G | Am | C | Am7 | G/B | D,Finger-Picking/Slapping/Muted-Strums
Halsey,Ghost  ,https://danielchaveztutorials.com/tabs/ghost,Standard,5th Fret,Em7 | Cadd9 | G | D,Finger-Picking/Slapping/Muted-Strums
Henrik,Turn Out Fine,https://danielchaveztutorials.com/tabs/turn-out-fine,Standard,4th Fret,C | G | Em | D,Strumming/Palm-muting
Hoobastank,The Reason,https://danielchaveztutorials.com/tabs/the-reason,Standard,N/A, E | C#5 | E | C#5 | A5 | B11 | Dsus2,Picking/Strumming
